"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
19771,29392,-9621,1.51370977271687,-6.64582824490287
20064,29446,-9382,1.44890938455408,-6.69864152778279
20287,29429,-9142,1.37768058885228,-6.74902081489563
20516,29457,-8941,1.31061195460233,-6.81461141759699
20885,29523,-8638,1.24635185545141,-6.83685578216206
21306,29595,-8289,1.18268148248846,-6.8433331489563
21769,29657,-7888,1.11694617054679,-6.82340209700845
22151,29646,-7495,1.04453568783673,-6.81411799409173
22519,29656,-7137,0.973604616793719,-6.82773701711135
22948,29685,-6737,0.903647790171883,-6.8276686874303
23350,29758,-6408,0.836527818441391,-6.8628761714155
23762,29794,-6032,0.76570270115679,-6.87827540961179
24248,29839,-5591,0.695155109058727,-6.86838576956229
24679,29884,-5205,0.623164065317674,-6.89029776291414
25164,29977,-4813,0.554416672208092,-6.91151285279881
25721,30097,-4376,0.487098894877867,-6.90100428949703
26283,30191,-3908,0.416968808661808,-6.88265517679128
26784,30251,-3467,0.343470109592785,-6.87689515677365
27297,30338,-3041,0.271874858032573,-6.86623879996213
27900,30407,-2507,0.198064715753902,-6.81001539230347
28449,30501,-2052,0.125904203544963,-6.78113622990521
29029,30597,-1568,0.0540776837955822,-6.73002188530835
29689,30695,-1006,-0.0185208055106076,-6.63748238845305
30299,30794,-495,-0.0907229591499675,-6.55526565421711
30853,30876,-23,-0.164054879004305,-6.49185447584499
31423,30949,474,-0.23755029277368,-6.39809061234648
31909,31022,887,-0.310236483541402,-6.34573657404293
32441,31141,1300,-0.379187281565233,-6.28349482958967
32995,31257,1738,-0.447909578139132,-6.20600877675143
33622,31343,2279,-0.517950586297295,-6.06473205523057
34122,31441,2681,-0.586733363704248,-5.98989230502735
34647,31512,3135,-0.655967793952335,-5.87867242910645
35165,31651,3514,-0.719151769442992,-5.79840415607799
35648,31767,3881,-0.782976704023101,-5.72758870612491
36217,31850,4367,-0.84760420105674,-5.58363999345086
36711,31982,4729,-0.907732180573724,-5.49986371668902
37090,32101,4989,-0.967068202116273,-5.46023983576081
37597,32191,5406,-1.02810831720179,-5.33284838633104
38088,32271,5817,-1.08746544122696,-5.22917139313438
38536,32418,6118,-1.13964050845666,-5.16109489961104
38993,32551,6442,-1.19268146753311,-5.07816159779375
39459,32655,6804,-1.2444449248639,-4.97499274774031
39871,32769,7102,-1.29571665335785,-4.89701895876364
40199,32884,7315,-1.3450391238386,-4.85484199903228
40614,32986,7628,-1.39363308548927,-4.76339829293164
40930,33102,7828,-1.4398319049315,-4.72501143000343
41387,33188,8199,-1.48513345068151,-4.60762754028494
41830,33343,8487,-1.52325202633034,-4.51917333277789
42195,33478,8717,-1.56312111426483,-4.45731892043894
42525,33564,8961,-1.6029936069792,-4.39029487859119
42971,33736,9235,-1.63538778830658,-4.31213886304335
43447,33940,9507,-1.66311396441676,-4.22813674048944
43897,34071,9826,-1.69633657146584,-4.11644255871122
44221,34226,9995,-1.72675814872438,-4.07376005188985
44667,34359,10308,-1.75662933886051,-3.9690035619519
45126,34542,10584,-1.78041753904386,-3.87614252892407
45464,34693,10771,-1.80618913851001,-3.83709503791549
45829,34852,10977,-1.82967760305513,-3.77405976653099
46202,34984,11218,-1.85430779579011,-3.69737300601872
