total_rewards,recon_rewards,cyber_attack_rewards,disinfo_rewards,term_rewards,loss1_history,loss2_history,loss3_history
0,10,0,0,-10,-2.299180507659912,-2.299180507659912,-2.299180507659912
0,10,0,0,-10,-2.3044235706329346,-2.3044235706329346,-2.3044235706329346
0,10,0,0,-10,-2.309654712677002,-2.309654712677002,-2.309654712677002
211,10,201,10,-10,3.528883695602417,3.528883695602417,3.528883695602417
56,10,56,0,-10,-0.7868086099624634,-0.7868086099624634,-0.7868086099624634
0,10,0,0,-10,-2.3245677947998047,-2.3245677947998047,-2.3245677947998047
122,10,102,20,-10,0.5742032527923584,0.5742032527923584,0.5742032527923584
0,10,0,0,-10,-2.334441661834717,-2.334441661834717,-2.334441661834717
0,10,0,0,-10,-2.339348316192627,-2.339348316192627,-2.339348316192627
607,10,507,100,-10,14.35931396484375,14.35931396484375,14.35931396484375
226,10,176,50,-10,3.476104736328125,3.476104736328125,3.476104736328125
0,10,0,0,-10,-2.353401899337769,-2.353401899337769,-2.353401899337769
40,10,0,40,-10,-1.7947579622268677,-1.7947579622268677,-1.7947579622268677
101,10,61,40,-10,-0.01195383071899414,-0.01195383071899414,-0.01195383071899414
396,20,366,20,-10,9.07644271850586,9.07644271850586,9.07644271850586
0,10,0,0,-10,-2.3724567890167236,-2.3724567890167236,-2.3724567890167236
0,10,0,0,-10,-2.377279996871948,-2.377279996871948,-2.377279996871948
263,10,203,60,-10,4.188054084777832,4.188054084777832,4.188054084777832
94,20,84,0,-10,-0.11297273635864258,-0.11297273635864258,-0.11297273635864258
0,10,0,0,-10,-2.3895528316497803,-2.3895528316497803,-2.3895528316497803
0,10,0,0,-10,-2.397021532058716,-2.397021532058716,-2.397021532058716
255,10,235,20,-10,4.70287561416626,4.70287561416626,4.70287561416626
88,10,88,0,-10,-0.40112805366516113,-0.40112805366516113,-0.40112805366516113
87,10,67,20,-10,-0.4341970682144165,-0.4341970682144165,-0.4341970682144165
89,10,79,10,-10,-0.2645752429962158,-0.2645752429962158,-0.2645752429962158
33,10,33,0,-10,-1.5377236604690552,-1.5377236604690552,-1.5377236604690552
0,10,0,0,-10,-2.4324920177459717,-2.4324920177459717,-2.4324920177459717
227,10,207,20,-10,3.7496299743652344,3.7496299743652344,3.7496299743652344
50,10,0,50,-10,-1.6058316230773926,-1.6058316230773926,-1.6058316230773926
129,10,99,30,-10,0.8589897155761719,0.8589897155761719,0.8589897155761719
122,10,112,10,-10,0.8954157829284668,0.8954157829284668,0.8954157829284668
168,10,108,60,-10,1.1262407302856443,1.1262407302856443,1.1262407302856443
112,30,72,20,-10,0.00475811958312988,0.00475811958312988,0.00475811958312988
124,10,94,30,-10,0.4469873905181885,0.4469873905181885,0.4469873905181885
0,10,0,0,-10,-2.4913620948791504,-2.4913620948791504,-2.4913620948791504
351,20,331,10,-10,7.463999271392822,7.463999271392822,7.463999271392822
455,10,375,80,-10,9.753287315368652,9.753287315368652,9.753287315368652
172,20,162,0,-10,2.125537633895874,2.125537633895874,2.125537633895874
439,10,419,20,-10,9.930574417114258,9.930574417114258,9.930574417114258
10,20,0,0,-10,-2.3115272521972656,-2.3115272521972656,-2.3115272521972656
237,20,117,110,-10,3.252047538757324,3.252047538757324,3.252047538757324
0,10,0,0,-10,-2.567113161087036,-2.567113161087036,-2.567113161087036
235,10,195,40,-10,3.0545687675476074,3.0545687675476074,3.0545687675476074
0,10,0,0,-10,-2.5949387550354004,-2.5949387550354004,-2.5949387550354004
0,10,0,0,-10,-2.6083226203918457,-2.6083226203918457,-2.6083226203918457
116,10,96,20,-10,0.071262359619140625,0.071262359619140625,0.071262359619140625
0,10,0,0,-10,-2.6471047401428223,-2.6471047401428223,-2.6471047401428223
598,20,568,20,-10,14.734984397888184,14.734984397888184,14.734984397888184
91,20,61,20,-10,-0.3254657983779907,-0.3254657983779907,-0.3254657983779907
0,10,0,0,-10,-2.7194268703460693,-2.7194268703460693,-2.7194268703460693
130,10,70,60,-10,-0.14158964157104492,-0.14158964157104492,-0.14158964157104492
183,10,83,100,-10,-0.04464650154113769,-0.04464650154113769,-0.04464650154113769
103,10,63,40,-10,-0.691753625869751,-0.691753625869751,-0.691753625869751
0,10,0,0,-10,-2.853959321975708,-2.853959321975708,-2.853959321975708
54,10,54,0,-10,-1.4555513858795166,-1.4555513858795166,-1.4555513858795166
0,10,0,0,-10,-3.2509191036224365,-3.2509191036224365,-3.2509191036224365
0,10,0,0,-10,-3.0039539337158203,-3.0039539337158203,-3.0039539337158203
141,10,71,70,-10,-0.2183452844619751,-0.2183452844619751,-0.2183452844619751
30,10,0,30,-10,-2.60593318939209,-2.60593318939209,-2.60593318939209
0,10,0,0,-10,-3.208989143371582,-3.208989143371582,-3.208989143371582
