total_rewards_sp0,total_rewards_sp1,total_rewards_sp2,filter_rewards_sp0,filter_rewards_sp1,filter_rewards_sp2,answer_rewards_sp0,answer_rewards_sp1,answer_rewards_sp2,loss4_sp0,loss4_sp1,loss4_sp2,loss5_sp0,loss5_sp1,loss5_sp2
-86.0,16.0,-92.0,-7.0,23.0,-26.0,-79.0,-7.0,-66.0,50.94106674194336,83.38796997070312,83.60367584228516,59.532833099365234,87.20916748046875,71.45462036132812
348.0,22.0,-74.0,147.0,8.0,-61.0,201.0,14.0,-13.0,51.816654205322266,83.18180084228516,83.47589874267578,60.94573211669922,87.35597229003906,71.51476287841797
63.0,23.0,54.0,17.0,25.0,-12.0,46.0,-2.0,66.0,51.02434158325195,83.32805633544922,83.62688446044922,59.8509635925293,87.21450805664062,72.11864471435547
45.0,112.0,95.0,133.0,81.0,-4.0,-88.0,31.0,99.0,51.62339782714844,83.5616455078125,83.6714096069336,59.36849594116211,87.44105529785156,72.29310607910156
182.0,-50.0,-9.0,131.0,-1.0,-58.0,51.0,-49.0,49.0,51.574127197265625,83.06977081298828,83.33447265625,60.38511657714844,86.90326690673828,71.5549087524414
98.0,-17.0,18.0,133.0,25.0,-69.0,-35.0,-42.0,87.0,51.50702667236328,83.19811248779297,83.28778839111328,59.9251823425293,87.05805969238281,71.85682678222656
204.0,-35.0,-50.0,179.0,-21.0,7.0,25.0,-14.0,-57.0,51.68966293334961,82.8906021118164,83.67144012451172,59.99213409423828,87.01254272460938,71.59828186035156
275.0,-2.0,98.0,158.0,-10.0,-18.0,117.0,8.0,116.0,51.57855224609375,82.94145965576172,83.4681167602539,60.320716857910156,87.25603485107422,72.08914184570312
137.0,57.0,-55.0,172.0,12.0,-12.0,-35.0,45.0,-43.0,51.626529693603516,83.01690673828125,83.48943328857422,60.075584411621094,87.34811401367188,71.08348846435547
110.0,25.0,39.0,25.0,61.0,-6.0,85.0,-36.0,45.0,50.61697006225586,83.32707214355469,83.52662658691406,60.10289001464844,87.15414428710938,71.62191772460938
181.0,-7.0,153.0,137.0,22.0,31.0,44.0,-29.0,122.0,51.33470153808594,83.0672378540039,83.61750793457031,59.98681640625,87.02839660644531,72.05304718017578
124.0,18.0,50.0,139.0,46.0,16.0,-15.0,-28.0,34.0,51.20328903198242,83.23825073242188,83.537353515625,60.055747985839844,87.15618133544922,71.52928161621094
171.0,17.0,38.0,257.0,45.0,88.0,-86.0,-28.0,-50.0,51.868221282958984,82.99513244628906,84.01296997070312,59.82437515258789,87.050048828125,71.38151550292969
497.0,-29.0,91.0,357.0,3.0,14.0,140.0,-32.0,77.0,52.36351776123047,82.82833099365234,83.47179412841797,60.67388916015625,86.91068267822266,71.83772277832031
