"total_rewards","action_rewards","opinion_rewards"
17911,3417,14494
17139,2723,14416
18028,3404,14624
17451,2969,14482
17711,3132,14579
17793,3401,14392
17850,3378,14472
18479,3799,14680
18231,3581,14650
17083,2746,14337
17046,2639,14407
18146,3610,14536
18679,3920,14759
18069,3523,14546
18424,3575,14849
17549,3241,14308
18103,3542,14561
17830,3348,14482
17709,3282,14427
18672,3897,14775
18583,3779,14804
18270,3613,14657
17352,2966,14386
17335,2913,14422
18554,3755,14799
18464,3816,14648
17872,3553,14319
18903,4026,14877
18307,3680,14627
18116,3535,14581
18659,3993,14666
18290,3653,14637
17290,2873,14417
18151,3581,14570
18353,3676,14677
18704,3835,14869
17731,3309,14422
18382,3845,14537
18539,3841,14698
18824,3994,14830
17975,3471,14504
18100,3535,14565
18061,3395,14666
18357,3693,14664
17862,3493,14369
18821,4065,14756
18471,3906,14565
16878,2497,14381
17862,3431,14431
17633,3016,14617
19104,4154,14950
17499,3180,14319
18552,3843,14709
18374,3650,14724
18501,3794,14707
18671,3938,14733
16923,2842,14081
17962,3337,14625
18787,4225,14562
18836,4233,14603
18239,3784,14455
18797,3913,14884
18146,3657,14489
17938,3408,14530
19238,4415,14823
19300,4418,14882
18787,3995,14792
18853,4043,14810
19304,4373,14931
19029,4291,14738
18479,3984,14495
17962,3577,14385
18640,3968,14672
19069,4284,14785
18972,4062,14910
19464,4494,14970
18493,3855,14638
18217,3736,14481
19082,4312,14770
18618,4014,14604
17865,3524,14341
18997,4377,14620
19000,4346,14654
18420,3841,14579
19564,4652,14912
19068,4308,14760
19399,4607,14792
19251,4559,14692
18464,3914,14550
19007,4414,14593
18691,4108,14583
19031,4374,14657
19562,4803,14759
18430,3886,14544
19000,4390,14610
19626,4848,14778
18754,4172,14582
19066,4328,14738
19615,4769,14846
19292,4602,14690
18164,3789,14375
18733,4278,14455
18302,3931,14371
19554,4760,14794
19531,4696,14835
18381,3849,14532
19181,4541,14640
18009,3598,14411
19994,5098,14896
20047,5053,14994
18697,4221,14476
19844,5092,14752
19756,4977,14779
18581,4213,14368
19839,5059,14780
18266,3890,14376
20081,5183,14898
19648,4956,14692
19505,4896,14609
19480,4864,14616
18290,3957,14333
18049,3732,14317
19995,5079,14916
19943,5183,14760
19602,4995,14607
19859,5111,14748
19487,4732,14755
20525,5643,14882
18901,4402,14499
19590,4934,14656
19636,4940,14696
19674,4875,14799
18358,3855,14503
19283,4643,14640
20068,5292,14776
18355,4044,14311
19558,4942,14616
20378,5510,14868
20479,5508,14971
19265,4715,14550
20512,5629,14883
19763,5187,14576
19705,5099,14606
19103,4537,14566
19740,5114,14626
21019,5977,15042
20540,5826,14714
20042,5339,14703
20410,5572,14838
19840,5280,14560
20234,5563,14671
18107,3929,14178
19262,4740,14522
19259,4586,14673
20609,5854,14755
20038,5512,14526
20860,6000,14860
20434,5628,14806
20001,5421,14580
19781,5343,14438
21149,6224,14925
19063,4760,14303
20452,5713,14739
20642,5893,14749
20118,5594,14524
19266,4929,14337
20033,5536,14497
20325,5641,14684
20319,5850,14469
20460,5691,14769
20784,6098,14686
21004,6114,14890
20506,5772,14734
19711,5346,14365
20987,6193,14794
20349,5757,14592
21155,6273,14882
20540,5972,14568
21171,6437,14734
20311,5733,14578
18803,4462,14341
21455,6525,14930
20443,5962,14481
20553,5873,14680
20475,5842,14633
20347,5818,14529
19727,5347,14380
21144,6315,14829
20429,5806,14623
19672,5417,14255
20862,6394,14468
21144,6398,14746
21228,6464,14764
21046,6303,14743
21605,6743,14862
21317,6514,14803
21343,6576,14767
21083,6419,14664
21111,6438,14673
21762,7100,14662
21509,6844,14665
19767,5478,14289
20556,5999,14557
21044,6409,14635
21557,6865,14692
20851,6335,14516
21429,6632,14797
22053,7201,14852
21082,6526,14556
19802,5387,14415
20406,6134,14272
22012,7141,14871
21355,6815,14540
20674,6217,14457
21434,6742,14692
20334,6162,14172
21653,6985,14668
21285,6658,14627
21893,7218,14675
19307,5275,14032
20459,6148,14311
21148,6612,14536
21508,6894,14614
21311,6797,14514
22100,7484,14616
20526,6123,14403
20844,6345,14499
22298,7543,14755
21694,7124,14570
20753,6382,14371
21445,7045,14400
21472,6994,14478
19823,5814,14009
20493,6193,14300
21694,7122,14572
21565,6950,14615
20465,6106,14359
21678,7129,14549
21852,7266,14586
21629,7248,14381
21595,7134,14461
19535,5604,13931
21789,7255,14534
21451,7003,14448
21863,7173,14690
21340,6915,14425
22415,7780,14635
22109,7503,14606
22363,7740,14623
21393,6972,14421
22559,7912,14647
22596,7979,14617
21002,6675,14327
21044,6827,14217
19786,5923,13863
21427,7031,14396
21083,6760,14323
20812,6587,14225
22198,7730,14468
22251,7827,14424
22588,7922,14666
20819,6561,14258
21680,7220,14460
21249,7010,14239
21868,7605,14263
20260,6468,13792
21980,7539,14441
20629,6531,14098
21984,7632,14352
22104,7580,14524
21588,7348,14240
21949,7450,14499
22534,7882,14652
22034,7729,14305
22049,7628,14421
21704,7496,14208
22911,8394,14517
22961,8353,14608
20847,6799,14048
22394,7986,14408
21296,7111,14185
21870,7544,14326
21417,7151,14266
22232,7757,14475
23022,8319,14703
22986,8439,14547
22877,8338,14539
21827,7663,14164
21686,7439,14247
22568,8126,14442
22340,8043,14297
21280,7056,14224
22928,8393,14535
21889,7563,14326
20910,6883,14027
21019,6926,14093
21337,7404,13933
22251,7821,14430
21703,7532,14171
22069,7683,14386
22920,8404,14516
22348,8129,14219
22560,8279,14281
22332,7989,14343
21924,7656,14268
22610,8249,14361
20833,6968,13865
21399,7254,14145
21167,7173,13994
22178,7859,14319
23170,8826,14344
21056,7078,13978
21439,7543,13896
22037,7888,14149
20550,6728,13822
19190,5471,13719
22513,8263,14250
22489,8319,14170
22442,8184,14258
22647,8424,14223
21566,7445,14121
22602,8432,14170
22161,7845,14316
21579,7546,14033
23218,8827,14391
22615,8369,14246
22720,8482,14238
22363,8142,14221
21209,7310,13899
23268,8862,14406
22825,8919,13906
22576,8398,14178
21877,7747,14130
22126,8016,14110
22247,8101,14146
23107,8850,14257
22242,8312,13930
22490,8440,14050
20632,6769,13863
22211,8326,13885
22418,8233,14185
20664,6970,13694
22025,8028,13997
21968,8002,13966
22275,8366,13909
22491,8261,14230
23049,8883,14166
23649,9288,14361
21828,8115,13713
23517,9228,14289
21943,8204,13739
23064,9011,14053
22912,8677,14235
23344,9323,14021
21905,7945,13960
22885,8793,14092
22889,8732,14157
23312,9228,14084
19964,6454,13510
21791,8016,13775
23430,9212,14218
21978,8032,13946
23245,9111,14134
22279,8399,13880
20723,7073,13650
22254,8286,13968
22007,8116,13891
22944,8968,13976
22395,8390,14005
23158,8948,14210
23607,9332,14275
23052,8955,14097
23814,9673,14141
22954,8839,14115
20361,6820,13541
22828,8607,14221
22726,8746,13980
23470,9157,14313
23947,9751,14196
23929,9760,14169
22637,8811,13826
22827,8835,13992
22804,8904,13900
23531,9484,14047
22899,9112,13787
21093,7656,13437
21733,8081,13652
22667,8729,13938
23294,9288,14006
20944,7373,13571
21913,8081,13832
22867,9018,13849
23183,9240,13943
22743,8829,13914
22642,8771,13871
22290,8539,13751
23811,9806,14005
21211,7806,13405
22575,8753,13822
22602,8822,13780
20935,7298,13637
22427,8730,13697
22732,8669,14063
21891,8107,13784
23072,9312,13760
22489,8673,13816
21889,8106,13783
24218,10058,14160
22540,8657,13883
23315,9383,13932
23843,9896,13947
22761,8880,13881
22729,8809,13920
21552,7996,13556
24089,9945,14144
23598,9649,13949
23503,9607,13896
23374,9509,13865
21930,8298,13632
22993,9068,13925
22001,8492,13509
23617,9777,13840
23493,9457,14036
23199,9228,13971
22098,8327,13771
23738,9765,13973
23453,9617,13836
23033,9150,13883
22667,8855,13812
23933,10082,13851
23378,9664,13714
22782,8983,13799
22969,9265,13704
23404,9559,13845
24014,10093,13921
23073,9418,13655
22984,9166,13818
23231,9297,13934
23580,9806,13774
22654,9060,13594
21744,8388,13356
22142,8587,13555
23207,9533,13674
22709,8968,13741
23517,9673,13844
22368,8965,13403
22284,8756,13528
23552,9868,13684
22115,8721,13394
24140,10213,13927
22907,9172,13735
23905,10043,13862
23482,9851,13631
23094,9409,13685
20326,7207,13119
23509,9803,13706
22679,9098,13581
23515,9666,13849
22060,8641,13419
22962,9473,13489
22886,9199,13687
24272,10318,13954
22565,9293,13272
23802,9853,13949
23911,10023,13888
23492,9717,13775
22562,9049,13513
23916,10129,13787
22303,8606,13697
22581,9061,13520
23231,9558,13673
23027,9276,13751
21953,8498,13455
23366,9891,13475
22695,9092,13603
22724,9110,13614
22010,8500,13510
23796,10144,13652
23507,9919,13588
22875,9280,13595
23245,9539,13706
23938,10242,13696
20880,7842,13038
22924,9434,13490
22933,9526,13407
23834,10200,13634
24188,10501,13687
24134,10509,13625
23598,9902,13696
23176,9482,13694
22320,8888,13432
23643,9849,13794
23745,10107,13638
21710,8693,13017
21716,8347,13369
22763,9131,13632
24141,10528,13613
23732,10132,13600
22461,8995,13466
22797,9348,13449
23563,10017,13546
22657,9154,13503
23300,9909,13391
22461,9248,13213
24380,10784,13596
24313,10549,13764
22770,9466,13304
22392,8866,13526
22842,9339,13503
22198,9030,13168
22846,9445,13401
24382,10706,13676
22661,9318,13343
22779,9427,13352
22319,9066,13253
22587,9280,13307
21985,8698,13287
21414,8186,13228
23234,9721,13513
23407,9999,13408
21991,8784,13207
23803,10207,13596
23556,10206,13350
24289,10652,13637
22440,9059,13381
22460,9201,13259
23719,10169,13550
23799,10253,13546
21950,8687,13263
23183,9785,13398
22844,9417,13427
23001,9586,13415
24526,10931,13595
22332,9070,13262
22882,9388,13494
23312,9865,13447
22463,9254,13209
22188,9020,13168
23907,10337,13570
24610,11056,13554
23503,10109,13394
22725,9378,13347
23818,10257,13561
22439,9349,13090
24149,10778,13371
24218,10821,13397
23425,10240,13185
23377,10030,13347
22946,9790,13156
24727,11120,13607
23290,10000,13290
24121,10837,13284
23490,10092,13398
22349,9178,13171
22681,9502,13179
24101,10639,13462
23518,10123,13395
23791,10347,13444
24256,10715,13541
23646,10113,13533
23120,9924,13196
24648,11166,13482
24032,10655,13377
24106,10734,13372
23657,10335,13322
23982,10867,13115
23619,10376,13243
24004,10757,13247
23125,9818,13307
24041,10781,13260
24570,11170,13400
23247,10017,13230
22634,9383,13251
24166,10779,13387
24109,10821,13288
21893,8928,12965
23121,9956,13165
24081,10563,13518
23694,10313,13381
21360,8609,12751
23185,9909,13276
23009,9857,13152
22956,9825,13131
23624,10214,13410
23048,9839,13209
24665,11294,13371
23148,9982,13166
22822,9718,13104
23719,10348,13371
22583,9462,13121
24680,11328,13352
20365,7700,12665
22844,9810,13034
23375,10165,13210
24599,11263,13336
