total_rewards,recon_rewards,cyber_attack_rewards,disinfo_rewards, term_rewards,loss1_history,loss2_history,loss3_history
472.0,10.0,442.0,50.0,-10.0,11.395126342773438,11.395126342773438,11.395126342773438
0.0,10.0,0.0,0.0,-10.0,-2.067455291748047,-2.067455291748047,-2.067455291748047
0.0,10.0,0.0,0.0,-10.0,-2.0720629692077637,-2.0720629692077637,-2.0720629692077637
0.0,10.0,0.0,0.0,-10.0,-2.076543092727661,-2.076543092727661,-2.076543092727661
109.0,10.0,99.0,20.0,-10.0,0.8251519203186035,0.8251519203186035,0.8251519203186035
20.0,10.0,0.0,30.0,-10.0,-1.5746548175811768,-1.5746548175811768,-1.5746548175811768
86.0,10.0,86.0,0.0,-10.0,0.19106101989746094,0.19106101989746094,0.19106101989746094
0.0,10.0,0.0,0.0,-10.0,-2.0958006381988525,-2.0958006381988525,-2.0958006381988525
0.0,10.0,0.0,0.0,-10.0,-2.1007728576660156,-2.1007728576660156,-2.1007728576660156
313.0,10.0,183.0,180.0,-10.0,6.841056823730469,6.841056823730469,6.841056823730469
236.0,10.0,216.0,30.0,-10.0,4.3615007400512695,4.3615007400512695,4.3615007400512695
617.0,10.0,347.0,400.0,-10.0,15.965923309326172,15.965923309326172,15.965923309326172
165.0,10.0,125.0,60.0,-10.0,2.549199104309082,2.549199104309082,2.549199104309082
259.0,10.0,219.0,60.0,-10.0,5.129879474639893,5.129879474639893,5.129879474639893
152.0,10.0,132.0,30.0,-10.0,1.952641487121582,1.952641487121582,1.952641487121582
107.0,10.0,87.0,30.0,-10.0,0.835651159286499,0.835651159286499,0.835651159286499
158.0,10.0,128.0,40.0,-10.0,2.2562835216522217,2.2562835216522217,2.2562835216522217
167.0,10.0,127.0,60.0,-10.0,2.5170223712921143,2.5170223712921143,2.5170223712921143
158.0,20.0,128.0,30.0,-10.0,2.3742499351501465,2.3742499351501465,2.3742499351501465
0.0,10.0,0.0,0.0,-10.0,-2.1549956798553467,-2.1549956798553467,-2.1549956798553467
0.0,10.0,0.0,0.0,-10.0,-2.1599905490875244,-2.1599905490875244,-2.1599905490875244
120.0,10.0,80.0,60.0,-10.0,1.0733373165130615,1.0733373165130615,1.0733373165130615
299.0,20.0,269.0,30.0,-10.0,6.441399574279785,6.441399574279785,6.441399574279785
0.0,10.0,0.0,0.0,-10.0,-2.1755404472351074,-2.1755404472351074,-2.1755404472351074
134.0,20.0,104.0,30.0,-10.0,1.6273157596588135,1.6273157596588135,1.6273157596588135
424.0,10.0,394.0,50.0,-10.0,9.954852104187012,9.954852104187012,9.954852104187012
503.0,10.0,353.0,230.0,-10.0,12.222542762756348,12.222542762756348,12.222542762756348
143.0,10.0,83.0,90.0,-10.0,1.7617285251617432,1.7617285251617432,1.7617285251617432
0.0,10.0,0.0,0.0,-10.0,-2.2069618701934814,-2.2069618701934814,-2.2069618701934814
0.0,10.0,0.0,0.0,-10.0,-2.2119064331054688,-2.2119064331054688,-2.2119064331054688
10.0,20.0,0.0,0.0,-10.0,-1.9635694026947021,-1.9635694026947021,-1.9635694026947021
20.0,30.0,0.0,0.0,-10.0,-1.6808552742004395,-1.6808552742004395,-1.6808552742004395
10.0,20.0,0.0,0.0,-10.0,-1.97792387008667,-1.97792387008667,-1.97792387008667
10.0,20.0,0.0,0.0,-10.0,-1.9818421602249146,-1.9818421602249146,-1.9818421602249146
30.0,10.0,0.0,40.0,-10.0,-1.4685211181640625,-1.4685211181640625,-1.4685211181640625
277.0,10.0,237.0,60.0,-10.0,5.481383800506592,5.481383800506592,5.481383800506592
40.0,10.0,0.0,60.0,-10.0,-1.1714506149291992,-1.1714506149291992,-1.1714506149291992
331.0,10.0,311.0,30.0,-10.0,7.017813682556152,7.017813682556152,7.017813682556152
617.0,10.0,607.0,20.0,-10.0,15.28774356842041,15.28774356842041,15.28774356842041
112.0,10.0,112.0,0.0,-10.0,0.6769521236419678,0.6769521236419678,0.6769521236419678
117.0,10.0,117.0,0.0,-10.0,0.7991311550140381,0.7991311550140381,0.7991311550140381
633.0,10.0,633.0,0.0,-10.0,15.769514083862305,15.769514083862305,15.769514083862305
0.0,10.0,0.0,0.0,-10.0,-2.3379158973693848,-2.3379158973693848,-2.3379158973693848
211.0,10.0,111.0,150.0,-10.0,3.7043275833129883,3.7043275833129883,3.7043275833129883
10.0,20.0,0.0,0.0,-10.0,-2.1084578037261963,-2.1084578037261963,-2.1084578037261963
254.0,10.0,234.0,30.0,-10.0,4.861931324005127,4.861931324005127,4.861931324005127
20.0,10.0,0.0,30.0,-10.0,-1.8798887729644775,-1.8798887729644775,-1.8798887729644775
0.0,10.0,0.0,0.0,-10.0,-2.4227187633514404,-2.4227187633514404,-2.4227187633514404
159.0,10.0,109.0,80.0,-10.0,2.0661349296569824,2.0661349296569824,2.0661349296569824
129.0,10.0,119.0,20.0,-10.0,0.9814989566802979,0.9814989566802979,0.9814989566802979
267.0,20.0,197.0,90.0,-10.0,5.290994167327881,5.290994167327881,5.290994167327881
0.0,10.0,0.0,0.0,-10.0,-2.5228195190429688,-2.5228195190429688,-2.5228195190429688
538.0,10.0,488.0,70.0,-10.0,12.650484085083008,12.650484085083008,12.650484085083008
175.0,20.0,145.0,30.0,-10.0,2.4377048015594482,2.4377048015594482,2.4377048015594482
132.0,10.0,112.0,30.0,-10.0,0.9141178131103516,0.9141178131103516,0.9141178131103516
97.0,10.0,77.0,30.0,-10.0,-0.0774834156036377,-0.0774834156036377,-0.0774834156036377
126.0,20.0,96.0,30.0,-10.0,0.8926405906677246,0.8926405906677246,0.8926405906677246
0.0,10.0,0.0,0.0,-10.0,-2.7770442962646484,-2.7770442962646484,-2.7770442962646484
0.0,10.0,0.0,0.0,-10.0,-2.837496042251587,-2.837496042251587,-2.837496042251587
310.0,10.0,270.0,60.0,-10.0,5.734010696411133,5.734010696411133,5.734010696411133
10.0,20.0,0.0,0.0,-10.0,-2.709393262863159,-2.709393262863159,-2.709393262863159
0.0,10.0,0.0,0.0,-10.0,-3.0628974437713623,-3.0628974437713623,-3.0628974437713623
0.0,10.0,0.0,0.0,-10.0,-3.1502037048339844,-3.1502037048339844,-3.1502037048339844
264.0,10.0,184.0,110.0,-10.0,4.388184070587158,4.388184070587158,4.388184070587158
250.0,20.0,190.0,70.0,-10.0,3.801738977432251,3.801738977432251,3.801738977432251
564.0,10.0,524.0,60.0,-10.0,12.201421737670898,12.201421737670898,12.201421737670898
279.0,10.0,249.0,40.0,-10.0,4.106801986694336,4.106801986694336,4.106801986694336
0.0,10.0,0.0,0.0,-10.0,-3.7021219730377197,-3.7021219730377197,-3.7021219730377197
0.0,10.0,0.0,0.0,-10.0,-3.8305492401123047,-3.8305492401123047,-3.8305492401123047
0.0,10.0,0.0,0.0,-10.0,-3.9556875228881836,-3.9556875228881836,-3.9556875228881836
217.0,10.0,147.0,90.0,-10.0,2.109649181365967,2.109649181365967,2.109649181365967
0.0,10.0,0.0,0.0,-10.0,-4.189765453338623,-4.189765453338623,-4.189765453338623
234.0,20.0,194.0,40.0,-10.0,2.493835210800171,2.493835210800171,2.493835210800171
185.0,20.0,75.0,130.0,-10.0,1.0417397022247314,1.0417397022247314,1.0417397022247314
209.0,10.0,99.0,150.0,-10.0,1.5002186298370361,1.5002186298370361,1.5002186298370361
319.0,10.0,209.0,150.0,-10.0,4.110163688659668,4.110163688659668,4.110163688659668
111.0,10.0,81.0,40.0,-10.0,-1.9469059705734253,-1.9469059705734253,-1.9469059705734253
370.0,10.0,280.0,120.0,-10.0,5.401705741882324,5.401705741882324,5.401705741882324
205.0,10.0,115.0,120.0,-10.0,0.5484237670898438,0.5484237670898438,0.5484237670898438
0.0,10.0,0.0,0.0,-10.0,-5.274987697601318,-5.274987697601318,-5.274987697601318
0.0,10.0,0.0,0.0,-10.0,-5.401184558868408,-5.401184558868408,-5.401184558868408
564.0,20.0,454.0,140.0,-10.0,10.236907005310059,10.236907005310059,10.236907005310059
603.0,50.0,533.0,40.0,-10.0,11.482473373413086,11.482473373413086,11.482473373413086
